Draw_Date,Number_1,Number_2,Number_3,Number_4,Number_5,Powerball,Multiplier,Original_Combination
06/24/2023,2,38,44,50,62,19,3.0,02 38 44 50 62 19
06/21/2023,5,11,33,35,63,14,2.0,05 11 33 35 63 14
06/19/2023,36,39,52,57,69,1,3.0,36 39 52 57 69 01
06/17/2023,2,12,45,61,64,26,2.0,02 12 45 61 64 26
06/14/2023,3,20,36,42,64,4,2.0,03 20 36 42 64 04
06/12/2023,2,3,16,23,68,7,2.0,02 03 16 23 68 07
06/10/2023,21,32,42,46,50,4,3.0,21 32 42 46 50 04
06/07/2023,16,21,29,53,66,2,5.0,16 21 29 53 66 02
06/05/2023,2,31,45,46,49,20,2.0,02 31 45 46 49 20
06/03/2023,15,45,64,67,68,18,2.0,15 45 64 67 68 18
05/31/2023,2,4,54,61,62,14,3.0,02 04 54 61 62 14
05/29/2023,21,33,35,62,64,24,2.0,21 33 35 62 64 24
05/27/2023,24,38,39,48,56,4,2.0,24 38 39 48 56 04
05/24/2023,12,21,44,50,58,26,3.0,12 21 44 50 58 26
05/22/2023,9,38,48,52,68,25,4.0,09 38 48 52 68 25
05/20/2023,17,23,32,38,63,23,2.0,17 23 32 38 63 23
05/17/2023,18,34,37,45,51,14,2.0,18 34 37 45 51 14
05/15/2023,1,26,28,55,58,25,2.0,01 26 28 55 58 25
05/13/2023,3,15,20,23,46,11,2.0,03 15 20 23 46 11
05/10/2023,21,24,33,55,69,3,10.0,21 24 33 55 69 03
05/08/2023,15,20,33,36,43,12,2.0,15 20 33 36 43 12
05/06/2023,31,39,47,51,53,6,2.0,31 39 47 51 53 06
05/03/2023,21,26,30,45,47,23,3.0,21 26 30 45 47 23
05/01/2023,3,38,55,61,66,1,3.0,03 38 55 61 66 01
04/29/2023,16,53,54,57,65,8,2.0,16 53 54 57 65 08
04/26/2023,2,15,30,35,49,6,2.0,02 15 30 35 49 06
04/24/2023,19,21,55,66,68,3,2.0,19 21 55 66 68 03
04/22/2023,17,36,47,63,68,25,2.0,17 36 47 63 68 25
04/19/2023,4,11,21,38,64,11,3.0,04 11 21 38 64 11
04/17/2023,23,25,35,63,64,25,3.0,23 25 35 63 64 25
04/15/2023,1,33,34,56,59,18,3.0,01 33 34 56 59 18
04/12/2023,9,36,41,44,59,4,2.0,09 36 41 44 59 04
04/10/2023,9,10,36,46,52,14,2.0,09 10 36 46 52 14
04/08/2023,11,22,24,51,60,18,3.0,11 22 24 51 60 18
04/05/2023,3,5,9,42,52,11,2.0,03 05 09 42 52 11
04/03/2023,16,30,31,54,68,1,2.0,16 30 31 54 68 01
04/01/2023,11,19,21,29,52,17,4.0,11 19 21 29 52 17
03/29/2023,4,9,24,46,66,7,3.0,04 09 24 46 66 07
03/27/2023,19,26,36,43,58,14,3.0,19 26 36 43 58 14
03/25/2023,15,17,18,47,57,19,2.0,15 17 18 47 57 19
03/22/2023,27,28,37,50,57,5,2.0,27 28 37 50 57 05
03/20/2023,1,27,32,47,67,14,2.0,01 27 32 47 67 14
03/18/2023,14,20,30,54,69,11,2.0,14 20 30 54 69 11
03/15/2023,16,18,33,37,50,8,2.0,16 18 33 37 50 08
03/13/2023,3,10,24,46,63,4,2.0,03 10 24 46 63 04
03/11/2023,11,20,33,43,58,24,2.0,11 20 33 43 58 24
03/08/2023,26,27,43,61,69,4,3.0,26 27 43 61 69 04
03/06/2023,2,13,29,58,69,4,3.0,02 13 29 58 69 04
03/04/2023,10,16,18,40,66,16,3.0,10 16 18 40 66 16
03/01/2023,2,9,28,36,53,4,2.0,02 09 28 36 53 04
02/27/2023,16,28,49,51,55,23,2.0,16 28 49 51 55 23
02/25/2023,11,24,58,66,67,26,3.0,11 24 58 66 67 26
02/22/2023,11,19,39,44,65,7,2.0,11 19 39 44 65 07
02/20/2023,3,17,26,38,54,15,3.0,03 17 26 38 54 15
02/18/2023,8,21,31,32,37,23,4.0,08 21 31 32 37 23
02/15/2023,31,32,54,60,63,12,4.0,31 32 54 60 63 12
02/13/2023,17,26,37,61,65,2,2.0,17 26 37 61 65 02
02/11/2023,10,23,30,54,65,11,4.0,10 23 30 54 65 11
02/08/2023,52,58,59,64,66,9,2.0,52 58 59 64 66 09
02/06/2023,5,11,22,23,69,7,2.0,05 11 22 23 69 07
02/04/2023,2,8,15,19,58,10,2.0,02 08 15 19 58 10
02/01/2023,31,43,58,59,66,9,2.0,31 43 58 59 66 09
01/30/2023,1,4,12,36,49,5,2.0,01 04 12 36 49 05
01/28/2023,2,18,23,27,47,15,4.0,02 18 23 27 47 15
01/25/2023,9,17,20,38,40,18,2.0,09 17 20 38 40 18
01/23/2023,12,31,47,58,60,23,3.0,12 31 47 58 60 23
01/21/2023,5,14,19,46,64,22,4.0,05 14 19 46 64 22
01/18/2023,6,15,22,42,47,26,3.0,06 15 22 42 47 26
01/16/2023,4,14,33,39,61,3,3.0,04 14 33 39 61 03
01/14/2023,24,26,39,47,57,23,2.0,24 26 39 47 57 23
01/11/2023,4,8,46,47,48,5,3.0,04 08 46 47 48 05
01/09/2023,18,43,48,60,69,14,3.0,18 43 48 60 69 14
01/07/2023,35,36,44,45,67,14,3.0,35 36 44 45 67 14
01/04/2023,12,32,56,67,68,26,3.0,12 32 56 67 68 26
01/02/2023,7,9,12,31,62,22,2.0,07 09 12 31 62 22
12/31/2022,18,37,44,50,64,11,3.0,18 37 44 50 64 11
12/28/2022,26,32,38,45,56,1,2.0,26 32 38 45 56 01
12/26/2022,17,41,47,60,61,17,3.0,17 41 47 60 61 17
12/24/2022,17,37,46,54,67,8,3.0,17 37 46 54 67 08
12/21/2022,12,15,24,34,59,14,2.0,12 15 24 34 59 14
12/19/2022,7,37,55,65,67,12,5.0,07 37 55 65 67 12
12/17/2022,33,56,64,66,68,12,2.0,33 56 64 66 68 12
12/14/2022,36,51,59,66,68,25,10.0,36 51 59 66 68 25
12/12/2022,16,31,50,55,61,9,4.0,16 31 50 55 61 09
12/10/2022,9,23,47,49,68,19,2.0,09 23 47 49 68 19
12/07/2022,6,28,44,59,61,21,2.0,06 28 44 59 61 21
12/05/2022,35,45,47,54,55,14,2.0,35 45 47 54 55 14
12/03/2022,6,13,33,36,37,7,4.0,06 13 33 36 37 07
11/30/2022,4,19,24,47,66,10,2.0,04 19 24 47 66 10
11/28/2022,29,30,32,48,50,20,2.0,29 30 32 48 50 20
11/26/2022,15,30,47,50,51,3,10.0,15 30 47 50 51 03
11/23/2022,1,2,31,39,66,25,2.0,01 02 31 39 66 25
11/21/2022,1,6,40,51,67,2,2.0,01 06 40 51 67 02
11/19/2022,7,28,62,63,64,10,3.0,07 28 62 63 64 10
11/16/2022,28,34,51,53,56,11,2.0,28 34 51 53 56 11
11/14/2022,19,35,53,54,67,21,2.0,19 35 53 54 67 21
11/12/2022,16,20,44,57,58,6,4.0,16 20 44 57 58 06
11/09/2022,7,14,24,30,56,7,2.0,07 14 24 30 56 07
11/05/2022,28,45,53,56,69,20,3.0,28 45 53 56 69 20
11/02/2022,2,11,22,35,60,23,2.0,02 11 22 35 60 23
10/31/2022,13,19,36,39,59,13,3.0,13 19 36 39 59 13
10/29/2022,19,31,40,46,57,23,3.0,19 31 40 46 57 23
10/26/2022,19,36,37,46,56,24,2.0,19 36 37 46 56 24
10/24/2022,18,23,35,45,54,16,4.0,18 23 35 45 54 16
10/22/2022,19,25,48,55,60,18,2.0,19 25 48 55 60 18
10/19/2022,6,8,15,27,42,10,3.0,06 08 15 27 42 10
10/17/2022,19,30,36,46,60,25,3.0,19 30 36 46 60 25
10/15/2022,32,37,40,58,62,15,5.0,32 37 40 58 62 15
10/12/2022,14,30,41,42,59,6,5.0,14 30 41 42 59 06
10/10/2022,3,6,11,17,22,11,2.0,03 06 11 17 22 11
10/08/2022,13,43,53,60,68,5,2.0,13 43 53 60 68 05
10/05/2022,26,30,33,37,62,6,2.0,26 30 33 37 62 06
10/03/2022,2,16,22,55,63,22,4.0,02 16 22 55 63 22
10/01/2022,8,21,22,65,69,26,2.0,08 21 22 65 69 26
09/28/2022,6,10,24,33,67,11,3.0,06 10 24 33 67 11
09/26/2022,13,20,31,33,59,20,3.0,13 20 31 33 59 20
09/24/2022,3,9,21,24,29,14,2.0,03 09 21 24 29 14
09/21/2022,6,33,34,45,54,7,2.0,06 33 34 45 54 07
09/19/2022,7,15,36,46,67,7,2.0,07 15 36 46 67 07
09/17/2022,5,25,36,51,61,1,3.0,05 25 36 51 61 01
09/14/2022,9,10,20,22,52,25,3.0,09 10 20 22 52 25
09/12/2022,6,14,16,34,66,25,3.0,06 14 16 34 66 25
09/10/2022,38,42,56,68,69,4,2.0,38 42 56 68 69 04
09/07/2022,3,16,30,33,36,20,3.0,03 16 30 33 36 20
09/05/2022,4,7,32,55,64,25,2.0,04 07 32 55 64 25
09/03/2022,18,27,49,65,69,9,2.0,18 27 49 65 69 09
08/31/2022,7,8,19,24,28,1,2.0,07 08 19 24 28 01
08/29/2022,13,36,43,61,69,18,3.0,13 36 43 61 69 18
